"GeneID"	"Symbol"	"description"
"328"	"APEX1"	"apurinic/apyrimidinic endodeoxyribonuclease 1"
"27301"	"APEX2"	"apurinic/apyrimidinic endodeoxyribonuclease 2"
"51107"	"APH1A"	"aph-1 homolog A, gamma-secretase subunit"
"8539"	"API5"	"apoptosis inhibitor 5"
"51074"	"APIP"	"APAF1 interacting protein"
"128240"	"NAXE"	"NAD(P)HX epimerase"
"23780"	"APOL2"	"apolipoprotein L2"
"139322"	"APOOL"	"apolipoprotein O like"
"84334"	"APOPT1"	"apoptogenic 1, mitochondrial"
"55198"	"APPL2"	"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"
"54840"	"APTX"	"aprataxin"
"369"	"ARAF"	"A-Raf proto-oncogene, serine/threonine kinase"
"372"	"ARCN1"	"archain 1"
"375"	"ARF1"	"ADP ribosylation factor 1"
"381"	"ARF5"	"ADP ribosylation factor 5"
"382"	"ARF6"	"ADP ribosylation factor 6"
"84364"	"ARFGAP2"	"ADP ribosylation factor GTPase activating protein 2"
"26286"	"ARFGAP3"	"ADP ribosylation factor GTPase activating protein 3"
"10564"	"ARFGEF2"	"ADP ribosylation factor guanine nucleotide exchange factor 2"
"27236"	"ARFIP1"	"ADP ribosylation factor interacting protein 1"
"23647"	"ARFIP2"	"ADP ribosylation factor interacting protein 2"
"10139"	"ARFRP1"	"ADP ribosylation factor related protein 1"
"2909"	"ARHGAP35"	"Rho GTPase activating protein 35"
"394"	"ARHGAP5"	"Rho GTPase activating protein 5"
"396"	"ARHGDIA"	"Rho GDP dissociation inhibitor alpha"
"55160"	"ARHGEF10L"	"Rho guanine nucleotide exchange factor 10 like"
"9826"	"ARHGEF11"	"Rho guanine nucleotide exchange factor 11"
"55701"	"ARHGEF40"	"Rho guanine nucleotide exchange factor 40"
"25820"	"ARIH1"	"ariadne RBR E3 ubiquitin protein ligase 1"
"10425"	"ARIH2"	"ariadne RBR E3 ubiquitin protein ligase 2"
"646450"	"ARIH2OS"	"ariadne homolog 2 opposite strand"
"400"	"ARL1"	"ADP ribosylation factor like GTPase 1"
"120534"	"ARL14EP"	"ADP ribosylation factor like GTPase 14 effector protein"
"26225"	"ARL5A"	"ADP ribosylation factor like GTPase 5A"
"51329"	"ARL6IP4"	"ADP ribosylation factor like GTPase 6 interacting protein 4"
"127829"	"ARL8A"	"ADP ribosylation factor like GTPase 8A"
"55207"	"ARL8B"	"ADP ribosylation factor like GTPase 8B"
"55156"	"ARMC1"	"armadillo repeat containing 1"
"83787"	"ARMC10"	"armadillo repeat containing 10"
"79798"	"ARMC5"	"armadillo repeat containing 5"
"93436"	"ARMC6"	"armadillo repeat containing 6"
"79637"	"ARMC7"	"armadillo repeat containing 7"
"25852"	"ARMC8"	"armadillo repeat containing 8"
"51566"	"ARMCX3"	"armadillo repeat containing, X-linked 3"
"64860"	"ARMCX5"	"armadillo repeat containing, X-linked 5"
"405"	"ARNT"	"aryl hydrocarbon receptor nuclear translocator"
"10552"	"ARPC1A"	"actin related protein 2/3 complex subunit 1A"
"10109"	"ARPC2"	"actin related protein 2/3 complex subunit 2"
"81873"	"ARPC5L"	"actin related protein 2/3 complex subunit 5 like"
"64801"	"ARV1"	"ARV1 homolog, fatty acid homeostasis modulator"
"51665"	"ASB1"	"ankyrin repeat and SOCS box containing 1"
"140459"	"ASB6"	"ankyrin repeat and SOCS box containing 6"
"140460"	"ASB7"	"ankyrin repeat and SOCS box containing 7"
"140461"	"ASB8"	"ankyrin repeat and SOCS box containing 8"
"51008"	"ASCC1"	"activating signal cointegrator 1 complex subunit 1"
"10973"	"ASCC3"	"activating signal cointegrator 1 complex subunit 3"
"25842"	"ASF1A"	"anti-silencing function 1A histone chaperone"
"9070"	"ASH2L"	"ASH2 like histone lysine methyltransferase complex subunit"
"439"	"ASNA1"	"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)"
"54529"	"ASNSD1"	"asparagine synthetase domain containing 1"
"79058"	"ASPSCR1"	"ASPSCR1, UBX domain containing tether for SLC2A4"
"55726"	"INTS13"	"integrator complex subunit 13"
"171023"	"ASXL1"	"additional sex combs like 1, transcriptional regulator"
"84896"	"ATAD1"	"ATPase family, AAA domain containing 1"
"55210"	"ATAD3A"	"ATPase family, AAA domain containing 3A"
"11101"	"ATE1"	"arginyltransferase 1"
"466"	"ATF1"	"activating transcription factor 1"
"1386"	"ATF2"	"activating transcription factor 2"
"468"	"ATF4"	"activating transcription factor 4"
"22926"	"ATF6"	"activating transcription factor 6"
"11016"	"ATF7"	"activating transcription factor 7"
"55729"	"ATF7IP"	"activating transcription factor 7 interacting protein"
"9140"	"ATG12"	"autophagy related 12"
"9776"	"ATG13"	"autophagy related 13"
"55054"	"ATG16L1"	"autophagy related 16 like 1"
"23130"	"ATG2A"	"autophagy related 2A"
"55102"	"ATG2B"	"autophagy related 2B"
"64422"	"ATG3"	"autophagy related 3"
"23192"	"ATG4B"	"autophagy related 4B cysteine peptidase"
"84971"	"ATG4D"	"autophagy related 4D cysteine peptidase"
"9474"	"ATG5"	"autophagy related 5"
"10533"	"ATG7"	"autophagy related 7"
"471"	"ATIC"	"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
"64225"	"ATL2"	"atlastin GTPase 2"
"23300"	"ATMIN"	"ATM interactor"
"475"	"ATOX1"	"antioxidant 1 copper chaperone"
"27032"	"ATP2C1"	"ATPase secretory pathway Ca2+ transporting 1"
"498"	"ATP5A1"	"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle"
"506"	"ATP5B"	"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"
"509"	"ATP5C1"	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"
"513"	"ATP5D"	"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"
"515"	"ATP5F1"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1"
"517"	"ATP5G2"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit C2 (subunit 9)"
"518"	"ATP5G3"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)"
"10476"	"ATP5H"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit D"
"522"	"ATP5J"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6"
"9551"	"ATP5J2"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2"
"100526740"	"ATP5J2-PTCD1"	"ATP5J2-PTCD1 readthrough"
"10632"	"ATP5L"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit G"
"539"	"ATP5O"	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"
"27109"	"ATP5S"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)"
"55101"	"ATP5SL"	"ATP5S like"
"537"	"ATP6AP1"	"ATPase H+ transporting accessory protein 1"
"23545"	"ATP6V0A2"	"ATPase H+ transporting V0 subunit a2"
"533"	"ATP6V0B"	"ATPase H+ transporting V0 subunit b"
"527"	"ATP6V0C"	"ATPase H+ transporting V0 subunit c"
"9114"	"ATP6V0D1"	"ATPase H+ transporting V0 subunit d1"
"8992"	"ATP6V0E1"	"ATPase H+ transporting V0 subunit e1"
"528"	"ATP6V1C1"	"ATPase H+ transporting V1 subunit C1"
"51382"	"ATP6V1D"	"ATPase H+ transporting V1 subunit D"
"529"	"ATP6V1E1"	"ATPase H+ transporting V1 subunit E1"
"9296"	"ATP6V1F"	"ATPase H+ transporting V1 subunit F"
"9550"	"ATP6V1G1"	"ATPase H+ transporting V1 subunit G1"
"51606"	"ATP6V1H"	"ATPase H+ transporting V1 subunit H"
"91647"	"ATPAF2"	"ATP synthase mitochondrial F1 complex assembly factor 2"
"93974"	"ATPIF1"	"ATPase inhibitory factor 1"
"51374"	"ATRAID"	"all-trans retinoic acid induced differentiation factor"
"8455"	"ATRN"	"attractin"
"25814"	"ATXN10"	"ataxin 10"
"342371"	"ATXN1L"	"ataxin 1 like"
"6311"	"ATXN2"	"ataxin 2"
"11273"	"ATXN2L"	"ataxin 2 like"
"56970"	"ATXN7L3"	"ataxin 7 like 3"
"552889"	"ATXN7L3B"	"ataxin 7 like 3B"
"549"	"AUH"	"AU RNA binding methylglutaconyl-CoA hydratase"
"550"	"AUP1"	"ancient ubiquitous protein 1"
"54998"	"AURKAIP1"	"aurora kinase A interacting protein 1"
"8312"	"AXIN1"	"axin 1"
"64343"	"AZI2"	"5-azacytidine induced 2"
"51582"	"AZIN1"	"antizyme inhibitor 1"
"126792"	"B3GALT6"	"beta-1,3-galactosyltransferase 6"
"8703"	"B4GALT3"	"beta-1,4-galactosyltransferase 3"
"9334"	"B4GALT5"	"beta-1,4-galactosyltransferase 5"
"11285"	"B4GALT7"	"beta-1,4-galactosyltransferase 7"
"29086"	"BABAM1"	"BRISC and BRCA1 A complex member 1"
"572"	"BAD"	"BCL2 associated agonist of cell death"
"573"	"BAG1"	"BCL2 associated athanogene 1"
"9530"	"BAG4"	"BCL2 associated athanogene 4"
"7917"	"BAG6"	"BCL2 associated athanogene 6"
"22893"	"BAHD1"	"bromo adjacent homology domain containing 1"
"8815"	"BANF1"	"barrier to autointegration factor 1"
"8314"	"BAP1"	"BRCA1 associated protein 1"
"9031"	"BAZ1B"	"bromodomain adjacent to zinc finger domain 1B"
"585"	"BBS4"	"Bardet-Biedl syndrome 4"
"55973"	"BCAP29"	"B-cell receptor associated protein 29"
"10134"	"BCAP31"	"B-cell receptor-associated protein 31"
"10286"	"BCAS2"	"BCAS2, pre-mRNA processing factor"
"587"	"BCAT2"	"branched chain amino acid transaminase 2"
"56647"	"BCCIP"	"BRCA2 and CDKN1A interacting protein"
"593"	"BCKDHA"	"branched chain keto acid dehydrogenase E1, alpha polypeptide"
"10295"	"BCKDK"	"branched chain ketoacid dehydrogenase kinase"
"598"	"BCL2L1"	"BCL2 like 1"
"23786"	"BCL2L13"	"BCL2 like 13"
"100529063"	"BCL2L2-PABPN1"	"BCL2L2-PABPN1 readthrough"
"9275"	"BCL7B"	"BCL tumor suppressor 7B"
"9774"	"BCLAF1"	"BCL2 associated transcription factor 1"
"617"	"BCS1L"	"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"
"8678"	"BECN1"	"beclin 1"
"51283"	"BFAR"	"bifunctional apoptosis regulator"
"329"	"BIRC2"	"baculoviral IAP repeat containing 2"
"100533467"	"BIVM-ERCC5"	"BIVM-ERCC5 readthrough"
"642"	"BLMH"	"bleomycin hydrolase"
"2647"	"BLOC1S1"	"biogenesis of lysosomal organelles complex 1 subunit 1"
"282991"	"BLOC1S2"	"biogenesis of lysosomal organelles complex 1 subunit 2"
"388552"	"BLOC1S3"	"biogenesis of lysosomal organelles complex 1 subunit 3"
"55330"	"BLOC1S4"	"biogenesis of lysosomal organelles complex 1 subunit 4"
"26258"	"BLOC1S6"	"biogenesis of lysosomal organelles complex 1 subunit 6"
"8548"	"BLZF1"	"basic leucine zipper nuclear factor 1"
"648"	"BMI1"	"BMI1 proto-oncogene, polycomb ring finger"
"9790"	"BMS1"	"BMS1, ribosome biogenesis factor"
"662"	"BNIP1"	"BCL2 interacting protein 1"
"663"	"BNIP2"	"BCL2 interacting protein 2"
"91272"	"BOD1"	"biorientation of chromosomes in cell division 1"
"51027"	"BOLA1"	"bolA family member 1"
"388962"	"BOLA3"	"bolA family member 3"
"669"	"BPGM"	"bisphosphoglycerate mutase"
"10380"	"BPNT1"	"3'(2'), 5'-bisphosphate nucleotidase 1"
"2186"	"BPTF"	"bromodomain PHD finger transcription factor"
"221927"	"BRAT1"	"BRCA1 associated ATM activator 1"
"6046"	"BRD2"	"bromodomain containing 2"
"23476"	"BRD4"	"bromodomain containing 4"
"29117"	"BRD7"	"bromodomain containing 7"
"65980"	"BRD9"	"bromodomain containing 9"
"9577"	"BABAM2"	"BRISC and BRCA1 A complex member 2"
"2972"	"BRF1"	"BRF1, RNA polymerase III transcription initiation factor subunit"
"55290"	"BRF2"	"BRF2, RNA polymerase III transcription initiation factor subunit"
"55299"	"BRIX1"	"BRX1, biogenesis of ribosomes"
"55845"	"BRK1"	"BRICK1, SCAR/WAVE actin nucleating complex subunit"
"25855"	"BRMS1"	"breast cancer metastasis suppressor 1"
"7862"	"BRPF1"	"bromodomain and PHD finger containing 1"
"27154"	"BRPF3"	"bromodomain and PHD finger containing 3"
"55108"	"BSDC1"	"BSD domain containing 1"
"682"	"BSG"	"basigin (Ok blood group)"
"55643"	"BTBD2"	"BTB domain containing 2"
"686"	"BTD"	"biotinidase"
"689"	"BTF3"	"basic transcription factor 3"
"9184"	"BUB3"	"BUB3, mitotic checkpoint protein"
"9689"	"BZW1"	"basic leucine zipper and W2 domains 1"
"84458"	"LCOR"	"ligand dependent nuclear receptor corepressor"
"56652"	"TWNK"	"twinkle mtDNA helicase"
"79591"	"C10orf76"	"chromosome 10 open reading frame 76"
"80007"	"C10orf88"	"chromosome 10 open reading frame 88"
"64776"	"C11orf1"	"chromosome 11 open reading frame 1"
"53838"	"C11orf24"	"chromosome 11 open reading frame 24"
"280636"	"SELENOH"	"selenoprotein H"
"55216"	"C11orf57"	"chromosome 11 open reading frame 57"
"10944"	"C11orf58"	"chromosome 11 open reading frame 58"
"51501"	"HIKESHI"	"Hikeshi, heat shock protein nuclear import factor"
"790955"	"UQCC3"	"ubiquinol-cytochrome c reductase complex assembly factor 3"
"60314"	"C12orf10"	"chromosome 12 open reading frame 10"
"90488"	"TMEM263"	"transmembrane protein 263"
"91298"	"C12orf29"	"chromosome 12 open reading frame 29"
"60673"	"ATG101"	"autophagy related 101"
"121053"	"C12orf45"	"chromosome 12 open reading frame 45"
"57103"	"TIGAR"	"TP53 induced glycolysis regulatory phosphatase"
"84934"	"RITA1"	"RBPJ interacting and tubulin associated 1"
"113246"	"C12orf57"	"chromosome 12 open reading frame 57"
"91574"	"C12orf65"	"chromosome 12 open reading frame 65"
"144577"	"C12orf66"	"chromosome 12 open reading frame 66"
"11161"	"C14orf1"	"chromosome 14 open reading frame 1"
"55017"	"C14orf119"	"chromosome 14 open reading frame 119"
"84520"	"GON7"	"GON7, KEOPS complex subunit homolog"
"51637"	"C14orf166"	"chromosome 14 open reading frame 166"
"9556"	"C14orf2"	"chromosome 14 open reading frame 2"
"122525"	"C14orf28"	"chromosome 14 open reading frame 28"
"100526783"	"C15orf38-AP3S2"	"C15orf38-AP3S2 readthrough"
"90416"	"C15orf57"	"chromosome 15 open reading frame 57"
"84326"	"METTL26"	"methyltransferase like 26"
"57020"	"C16orf62"	"chromosome 16 open reading frame 62"
"29035"	"C16orf72"	"chromosome 16 open reading frame 72"
"283951"	"C16orf91"	"chromosome 16 open reading frame 91"
"124944"	"C17orf49"	"chromosome 17 open reading frame 49"
"339263"	"C17orf51"	"chromosome 17 open reading frame 51"
"284018"	"C17orf58"	"chromosome 17 open reading frame 58"
"54785"	"BORCS6"	"BLOC-1 related complex subunit 6"
"80233"	"FAAP100"	"Fanconi anemia core complex associated protein 100"
"55421"	"NCBP3"	"nuclear cap binding subunit 3"
"83608"	"C18orf21"	"chromosome 18 open reading frame 21"
"147339"	"C18orf25"	"chromosome 18 open reading frame 25"
"497661"	"C18orf32"	"chromosome 18 open reading frame 32"
"29919"	"C18orf8"	"chromosome 18 open reading frame 8"
"79002"	"C19orf43"	"chromosome 19 open reading frame 43"
"28974"	"C19orf53"	"chromosome 19 open reading frame 53"
"55049"	"C19orf60"	"chromosome 19 open reading frame 60"
"125988"	"C19orf70"	"chromosome 19 open reading frame 70"
"56913"	"C1GALT1"	"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"
"708"	"C1QBP"	"complement C1q binding protein"
"54955"	"C1orf109"	"chromosome 1 open reading frame 109"
"127687"	"C1orf122"	"chromosome 1 open reading frame 122"
"54987"	"C1orf123"	"chromosome 1 open reading frame 123"
"339448"	"C1orf174"	"chromosome 1 open reading frame 174"
"25912"	"C1orf43"	"chromosome 1 open reading frame 43"
"79078"	"C1orf50"	"chromosome 1 open reading frame 50"
"148423"	"C1orf52"	"chromosome 1 open reading frame 52"
"51526"	"OSER1"	"oxidative stress responsive serine rich 1"
"55969"	"C20orf24"	"chromosome 20 open reading frame 24"
"755"	"C21orf2"	"chromosome 21 open reading frame 2"
"8209"	"C21orf33"	"chromosome 21 open reading frame 33"
"56683"	"C21orf59"	"chromosome 21 open reading frame 59"
"51493"	"RTCB"	"RNA 2',3'-cyclic phosphate and 5'-OH ligase"
"79680"	"C22orf29"	"chromosome 22 open reading frame 29"
"91689"	"SMDT1"	"single-pass membrane protein with aspartate rich tail 1"
"51614"	"ERGIC3"	"ERGIC and golgi 3"
"79074"	"C2orf49"	"chromosome 2 open reading frame 49"
"205327"	"C2orf69"	"chromosome 2 open reading frame 69"
"339804"	"C2orf74"	"chromosome 2 open reading frame 74"
"130355"	"C2orf76"	"chromosome 2 open reading frame 76"
"25871"	"NEPRO"	"nucleolus and neural progenitor protein"
"56941"	"HMCES"	"5-hydroxymethylcytosine (hmC) binding, ES cell-specific"
"285237"	"C3orf38"	"chromosome 3 open reading frame 38"
"205428"	"C3orf58"	"chromosome 3 open reading frame 58"
"54969"	"HPF1"	"histone PARylation factor 1"
"401152"	"C4orf3"	"chromosome 4 open reading frame 3"
"389203"	"SMIM20"	"small integral membrane protein 20"
"56951"	"C5orf15"	"chromosome 5 open reading frame 15"
"134553"	"C5orf24"	"chromosome 5 open reading frame 24"
"221491"	"C6orf1"	"chromosome 6 open reading frame 1"
"64771"	"C6orf106"	"chromosome 6 open reading frame 106"
"387263"	"C6orf120"	"chromosome 6 open reading frame 120"
"221545"	"C6orf136"	"chromosome 6 open reading frame 136"
"441150"	"C6orf226"	"chromosome 6 open reading frame 226"
"57827"	"C6orf47"	"chromosome 6 open reading frame 47"
"135154"	"SDHAF4"	"succinate dehydrogenase complex assembly factor 4"
"81688"	"C6orf62"	"chromosome 6 open reading frame 62"
"221477"	"C6orf89"	"chromosome 6 open reading frame 89"
"79020"	"C7orf25"	"chromosome 7 open reading frame 25"
"79034"	"C7orf26"	"chromosome 7 open reading frame 26"
"78996"	"C7orf49"	"chromosome 7 open reading frame 49"
"84310"	"C7orf50"	"chromosome 7 open reading frame 50"
"154791"	"FMC1"	"formation of mitochondrial complex V assembly factor 1 homolog"
"100996928"	"C7orf55-LUC7L2"	"C7orf55-LUC7L2 readthrough"
"647087"	"C7orf73"	"chromosome 7 open reading frame 73"
"65265"	"C8orf33"	"chromosome 8 open reading frame 33"
"114926"	"SMIM19"	"small integral membrane protein 19"
"401466"	"C8orf59"	"chromosome 8 open reading frame 59"
"84933"	"C8orf76"	"chromosome 8 open reading frame 76"
"414919"	"C8orf82"	"chromosome 8 open reading frame 82"
